;PKII;MessageID;Teplota;Tlak;Vlhkost;Výška(BME280);U-Shunt;U-Bus;Proud;U-Load;RSSI;Zem. šířka(Lat.);Zem.délka(Lon.);Souřadnice;Rok;Měsíc;Den;Čas;Hodiny;Minuty;Sekundy;SIV;Výška(GPS);TeplotaW;TlakW;VlhkostW;VýškaW(BME280);Teplota Stanice;Tlak Stanice;Vlhkost Stanice;Výška Stanice(BME280)
;PKII_OCS;111;26.41;983.60;58.64;1044.2;5.14;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:8;2;1;8;0;0;0.00;0.00;0.00;0.00;26.61;983.75;58.68;248.60
;PKII_OCS;120;26.40;983.61;58.39;1040.4;4.47;3.91;0.00;0.00;0;501126348;140897288;0 N 0 E;2015;10;18;2:1:13;2;1;13;0;0;0.00;0.00;0.00;0.00;26.87;983.74;58.29;248.67
;PKII_OCS;121;26.40;983.59;58.35;1032.9;4.44;3.90;0.00;0.00;0;501126121;140897437;0 N 0 E;2015;10;18;2:1:14;2;1;14;0;0;0.00;0.00;0.00;0.00;26.86;983.73;58.02;248.70
;PKII_OCS;122;26.40;983.63;58.28;1017.9;4.78;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:15;2;1;15;0;0;0.00;0.00;0.00;0.00;26.85;983.75;57.58;248.60
;PKII_OCS;123;26.40;983.57;58.21;1002.9;4.82;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:16;2;1;16;0;0;0.00;0.00;0.00;0.00;26.84;983.74;57.35;248.63
;PKII_OCS;125;26.40;983.63;58.13;987.9;5.28;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:17;2;1;17;0;0;0.00;0.00;0.00;0.00;26.83;983.71;57.01;248.89
;PKII_OCS;127;26.40;983.63;58.07;980.4;5.22;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:18;2;1;18;0;0;0.00;0.00;0.00;0.00;26.82;983.71;56.92;248.92
;PKII_OCS;129;26.39;983.57;58.09;972.9;4.92;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:19;2;1;19;0;0;0.00;0.00;0.00;0.00;26.81;983.69;56.75;249.10
;PKII_OCS;137;26.39;983.58;57.89;957.9;5.23;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:24;2;1;24;0;0;0.00;0.00;0.00;0.00;26.78;983.79;56.19;248.21
;PKII_OCS;138;26.38;983.61;57.87;950.4;5.64;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:25;2;1;25;0;0;0.00;0.00;0.00;0.00;26.77;983.72;55.97;248.78
;PKII_OCS;139;26.39;983.64;57.86;935.4;5.12;3.90;0.00;0.00;0;501123239;140902719;0 N 0 E;2015;10;18;2:1:26;2;1;26;0;0;0.00;0.00;0.00;0.00;26.78;983.69;55.96;249.10
;PKII_OCS;142;26.38;983.60;57.80;927.9;5.19;3.90;0.00;0.00;0;501122469;140903342;0 N 0 E;2015;10;18;2:1:28;2;1;28;0;0;0.00;0.00;0.00;0.00;26.77;983.72;55.97;248.77
;PKII_OCS;144;26.38;983.59;57.73;912.9;5.40;3.90;0.00;0.00;0;501121240;140904920;0 N 0 E;2015;10;18;2:1:29;2;1;29;0;0;0.00;0.00;0.00;0.00;26.76;983.73;55.84;248.76
;PKII_OCS;146;26.38;983.60;57.67;905.4;4.93;3.90;0.00;0.00;0;501121411;140904791;0 N 0 E;2015;10;18;2:1:30;2;1;30;0;0;0.00;0.00;0.00;0.00;26.76;983.70;55.76;248.96
;PKII_OCS;149;26.38;983.61;57.63;890.4;5.10;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:31;2;1;31;0;0;0.00;0.00;0.00;0.00;26.76;983.77;55.72;248.35
;PKII_OCS;152;26.38;983.57;57.62;875.4;5.94;3.90;0.00;0.00;0;501121650;140905668;0 N 0 E;2015;10;18;2:1:33;2;1;33;0;0;0.00;0.00;0.00;0.00;26.76;983.77;55.80;248.42
;PKII_OCS;153;26.38;983.59;57.59;867.9;4.60;3.90;0.00;0.00;0;501120036;140905807;0 N 0 E;2015;10;18;2:1:34;2;1;34;0;0;0.00;0.00;0.00;0.00;26.76;983.78;55.63;248.30
;PKII_OCS;155;26.38;983.60;57.58;852.9;4.57;3.90;0.00;0.00;0;501119915;140905436;0 N 0 E;2015;10;18;2:1:36;2;1;36;0;0;0.00;0.00;0.00;0.00;26.75;983.70;55.60;249.02
;PKII_OCS;160;26.37;983.60;57.54;845.4;5.21;3.90;0.00;0.00;0;501118257;140905947;0 N 0 E;2015;10;18;2:1:39;2;1;39;0;0;0.00;0.00;0.00;0.00;26.73;983.75;55.52;248.58
;PKII_OCS;162;26.37;983.60;57.51;837.9;5.17;3.90;0.00;0.00;0;501118781;140906196;0 N 0 E;2015;10;18;2:1:40;2;1;40;0;0;0.00;0.00;0.00;0.00;26.73;983.75;55.46;248.58
;PKII_OCS;164;26.37;983.66;57.48;830.4;5.07;3.90;0.00;0.00;0;501118393;140906164;0 N 0 E;0;0;0;2:0:0;2;0;0;0;0;0.00;0.00;0.00;0.00;26.73;983.74;55.39;248.61
;PKII_OCS;168;26.37;983.57;57.44;815.4;5.78;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:43;2;1;43;0;0;0.00;0.00;0.00;0.00;26.73;983.73;55.47;248.76
;PKII_OCS;169;26.37;983.62;57.41;800.4;4.82;3.90;0.00;0.00;0;501117221;140907120;0 N 0 E;2015;10;18;2:1:44;2;1;44;0;0;0.00;0.00;0.00;0.00;26.72;983.73;55.44;248.68
;PKII_OCS;173;26.37;983.60;57.42;792.9;4.83;3.90;0.00;0.00;0;;;0 N 0 E;2015;10;18;2:1:46;2;1;46;0;0;0.00;0.00;0.00;0.00;26.73;983.74;55.45;248.65
